,norm_intensity,norm_intensity_error,norm_intensity_nocomplex,norm_intensity_nocomplex_error,offset(hz),slp(hz),trelax(s)
33,0.5002797611534459,0.0,0.5017639939528225,0.0,-1002.5125628140704,249.99999999999997,0.15
34,0.49605872143599783,0.0,0.4989234335175936,0.0,-987.4371859296482,249.99999999999997,0.15
35,0.4909223718574589,0.0,0.4959777492451276,0.0,-972.3618090452261,249.99999999999997,0.15
36,0.48749148382171814,0.0,0.4929221835128701,0.0,-957.286432160804,249.99999999999997,0.15
37,0.48599257832557236,0.0,0.48975174811195427,0.0,-942.2110552763819,249.99999999999997,0.15
38,0.48417487951376903,0.0,0.48646121529413067,0.0,-927.1356783919599,249.99999999999997,0.15
39,0.48019157103486854,0.0,0.4830451091019913,0.0,-912.0603015075377,249.99999999999997,0.15
40,0.4746780036680136,0.0,0.4794976971520504,0.0,-896.9849246231156,249.99999999999997,0.15
41,0.4697415674167634,0.0,0.4758129830784022,0.0,-881.9095477386935,249.99999999999997,0.15
42,0.46646160059428865,0.0,0.47198469988998104,0.0,-866.8341708542713,249.99999999999997,0.15
43,0.4638896870150583,0.0,0.4680063045484555,0.0,-851.7587939698492,249.99999999999997,0.15
44,0.4603552188662109,0.0,0.46387097413762685,0.0,-836.6834170854271,249.99999999999997,0.15
45,0.4552616536977254,0.0,0.4595716040709378,0.0,-821.6080402010051,249.99999999999997,0.15
46,0.4494314585335866,0.0,0.4551008088729924,0.0,-806.5326633165828,249.99999999999997,0.15
47,0.44398479560924753,0.0,0.45045092617629323,0.0,-791.4572864321608,249.99999999999997,0.15
48,0.43921583257091407,0.0,0.4456140246981012,0.0,-776.3819095477387,249.99999999999997,0.15
49,0.43456119264940224,0.0,0.44058191710734274,0.0,-761.3065326633166,249.99999999999997,0.15
50,0.4293944345353418,0.0,0.435346178860909,0.0,-746.2311557788945,249.99999999999997,0.15
51,0.42364632574759054,0.0,0.42989817428593763,0.0,-731.1557788944723,249.99999999999997,0.15
52,0.41768821965864084,0.0,0.4242290914133183,0.0,-716.0804020100503,249.99999999999997,0.15
53,0.4117767310842566,0.0,0.41832998733150284,0.0,-701.005025125628,249.99999999999997,0.15
54,0.4057079093614854,0.0,0.4121918461323267,0.0,-685.929648241206,249.99999999999997,0.15
55,0.39898566521326684,0.0,0.405805651865279,0.0,-670.8542713567839,249.99999999999997,0.15
56,0.3912757686746448,0.0,0.3991624793061119,0.0,-655.7788944723618,249.99999999999997,0.15
57,0.3827134735868384,0.0,0.3922536057809622,0.0,-640.7035175879397,249.99999999999997,0.15
58,0.37383799242405624,0.0,0.3850706477675538,0.0,-625.6281407035176,249.99999999999997,0.15
59,0.36525769658914475,0.0,0.37760572651607727,0.0,-610.5527638190955,249.99999999999997,0.15
60,0.3573153901551444,0.0,0.36985166748516307,0.0,-595.4773869346733,249.99999999999997,0.15
61,0.34995496973581,0.0,0.36180223895678426,0.0,-580.4020100502512,249.99999999999997,0.15
62,0.34281306950536156,0.0,0.35345243575234975,0.0,-565.3266331658291,249.99999999999997,0.15
63,0.33542555954833714,0.0,0.34479881448180266,0.0,-550.251256281407,249.99999999999997,0.15
64,0.3274147809067226,0.0,0.3358398871616989,0.0,-535.1758793969849,249.99999999999997,0.15
65,0.3185800099813323,0.0,0.3265765802576406,0.0,-520.1005025125628,249.99999999999997,0.15
66,0.30888622094301826,0.0,0.317012766132059,0.0,-505.0251256281407,249.99999999999997,0.15
67,0.2983901854148918,0.0,0.30715587336460526,0.0,-489.94974874371866,249.99999999999997,0.15
68,0.2871516869359383,0.0,0.297017581269265,0.0,-474.8743718592964,249.99999999999997,0.15
69,0.2751702932310627,0.0,0.286614601918024,0.0,-459.7989949748744,249.99999999999997,0.15
70,0.26238807709654965,0.0,0.2759695497962025,0.0,-444.7236180904522,249.99999999999997,0.15
71,0.24881022609535214,0.0,0.2651118945013222,0.0,-429.6482412060302,249.99999999999997,0.15
72,0.23477061411708605,0.0,0.2540789852433157,0.0,-414.572864321608,249.99999999999997,0.15
73,0.22118023587780877,0.0,0.2429171268590854,0.0,-399.49748743718607,249.99999999999997,0.15
74,0.20916637287985407,0.0,0.23168267516205565,0.0,-384.42211055276385,249.99999999999997,0.15
75,0.19841136786987018,0.0,0.2204431042954894,0.0,-369.3467336683416,249.99999999999997,0.15
76,0.18549094205466826,0.0,0.20927798005206233,0.0,-354.2713567839196,249.99999999999997,0.15
77,0.16729688367577578,0.0,0.19827975077847415,0.0,-339.1959798994974,249.99999999999997,0.15
78,0.14951310217976885,0.0,0.18755424173677127,0.0,-324.1206030150754,249.99999999999997,0.15
79,0.140456806941407,0.0,0.17722071029820413,0.0,-309.0452261306532,249.99999999999997,0.15
80,0.13086745180120676,0.0,0.16741128925710866,0.0,-293.9698492462312,249.99999999999997,0.15
81,0.11672318630316009,0.0,0.15826961558661526,0.0,-278.894472361809,249.99999999999997,0.15
82,0.10467422756409166,0.0,0.1499484144734256,0.0,-263.819095477387,249.99999999999997,0.15
83,0.08742449388116202,0.0,0.1426057867520506,0.0,-248.7437185929648,249.99999999999997,0.15
84,0.08264396674432499,0.0,0.1363999369734274,0.0,-233.66834170854258,249.99999999999997,0.15
85,0.06825402312241856,0.0,0.13148208810962586,0.0,-218.59296482412063,249.99999999999997,0.15
